@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
10,18,3.0,4,9.80866963456,20.3,0.3,0.3,1,1549
10,18,3.0,4,9.80866963456,20.3,0.3,0.4,1,1492
10,18,3.0,4,9.80866963456,20.3,0.3,0.5,1,1443
10,18,3.0,4,9.80866963456,20.3,0.4,0.3,1,1262
10,18,3.0,4,9.80866963456,20.3,0.4,0.4,1,1286
10,18,3.0,4,9.80866963456,20.3,0.4,0.5,1,1661
10,18,3.0,4,9.80866963456,20.3,0.5,0.3,1,1240
10,18,3.0,4,9.80866963456,20.3,0.5,0.4,1,1224
10,18,3.0,4,9.80866963456,20.3,0.5,0.5,1,1223
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.3,1,5874
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.4,1,5542
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.5,1,5561
679,20,247.554034506,325,16.2094206455,31.1531664212,0.4,0.3,1,3549
679,20,247.554034506,325,16.2094206455,31.1531664212,0.4,0.4,1,3639
679,20,247.554034506,325,16.2094206455,31.1531664212,0.4,0.5,1,3442
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.3,1,2279
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.4,1,2329
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.5,1,2349
2,11,0.0,1,5.5,34.5,0.3,0.3,1,1661
2,11,0.0,1,5.5,34.5,0.3,0.4,1,1572
2,11,0.0,1,5.5,34.5,0.3,0.5,1,1572
2,11,0.0,1,5.5,34.5,0.4,0.3,1,1690
2,11,0.0,1,5.5,34.5,0.4,0.4,1,1560
2,11,0.0,1,5.5,34.5,0.4,0.5,1,1655
2,11,0.0,1,5.5,34.5,0.5,0.3,1,1645
2,11,0.0,1,5.5,34.5,0.5,0.4,1,1510
2,11,0.0,1,5.5,34.5,0.5,0.5,1,1595
