@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
721,21,231.11,367.0,16.27,30.94,0.1,0.1,1,73098
721,21,231.11,367.0,16.27,30.94,0.1,0.1,2,52454
721,21,231.11,367.0,16.27,30.94,0.1,0.1,4,56517
721,21,231.11,367.0,16.27,30.94,0.1,0.4,1,66043
721,21,231.11,367.0,16.27,30.94,0.1,0.4,2,45871
721,21,231.11,367.0,16.27,30.94,0.1,0.4,4,46566
721,21,231.11,367.0,16.27,30.94,0.1,0.7,1,61886
721,21,231.11,367.0,16.27,30.94,0.1,0.7,2,43703
721,21,231.11,367.0,16.27,30.94,0.1,0.7,4,42494
721,21,231.11,367.0,16.27,30.94,0.3,0.1,1,6647
721,21,231.11,367.0,16.27,30.94,0.3,0.1,2,5276
721,21,231.11,367.0,16.27,30.94,0.3,0.1,4,7251
721,21,231.11,367.0,16.27,30.94,0.3,0.4,1,6689
721,21,231.11,367.0,16.27,30.94,0.3,0.4,2,5165
721,21,231.11,367.0,16.27,30.94,0.3,0.4,4,5030
721,21,231.11,367.0,16.27,30.94,0.3,0.7,1,6347
721,21,231.11,367.0,16.27,30.94,0.3,0.7,2,4632
721,21,231.11,367.0,16.27,30.94,0.3,0.7,4,4956
737,19,296.76,314.0,16.18,30.47,0.1,0.1,1,2390
737,19,296.76,314.0,16.18,30.47,0.1,0.1,2,2283
737,19,296.76,314.0,16.18,30.47,0.1,0.1,4,2272
737,19,296.76,314.0,16.18,30.47,0.1,0.4,1,2256
737,19,296.76,314.0,16.18,30.47,0.1,0.4,2,2221
737,19,296.76,314.0,16.18,30.47,0.1,0.4,4,2159
737,19,296.76,314.0,16.18,30.47,0.1,0.7,1,2211
737,19,296.76,314.0,16.18,30.47,0.1,0.7,2,737
2238,19,296.76,314.0,16.18,30.47,0.1,0.7,4,2096
737,19,296.76,314.0,16.18,30.47,0.3,0.1,1,1757
737,19,296.76,314.0,16.18,30.47,0.3,0.1,2,1745
737,19,296.76,314.0,16.18,30.47,0.3,0.1,4,1698
737,19,296.76,314.0,16.18,30.47,0.3,0.4,1,1773
737,19,296.76,314.0,16.18,30.47,0.3,0.4,2,1786
737,19,296.76,314.0,16.18,30.47,0.3,0.4,4,1775
737,19,296.76,314.0,16.18,30.47,0.3,0.7,1,1755
737,19,296.76,314.0,16.18,30.47,0.3,0.7,2,1691
737,19,296.76,314.0,16.18,30.47,0.3,0.7,4,1751
728,19,292.26,306.0,16.22,30.52,0.1,0.1,1,2293
728,19,292.26,306.0,16.22,30.52,0.1,0.1,2,2184
728,19,292.26,306.0,16.22,30.52,0.1,0.1,4,2162
728,19,292.26,306.0,16.22,30.52,0.1,0.4,1,2222
728,19,292.26,306.0,16.22,30.52,0.1,0.4,2,2153
728,19,292.26,306.0,16.22,30.52,0.1,0.4,4,2125
728,19,292.26,306.0,16.22,30.52,0.1,0.7,1,2172
728,19,292.26,306.0,16.22,30.52,0.1,0.7,2,2148
728,19,292.26,306.0,16.22,30.52,0.1,0.7,4,2536
728,19,292.26,306.0,16.22,30.52,0.3,0.1,1,1866
728,19,292.26,306.0,16.22,30.52,0.3,0.1,2,1869
728,19,292.26,306.0,16.22,30.52,0.3,0.1,4,1713
728,19,292.26,306.0,16.22,30.52,0.3,0.4,1,1801
728,19,292.26,306.0,16.22,30.52,0.3,0.4,2,1734
728,19,292.26,306.0,16.22,30.52,0.3,0.4,4,1753
728,19,292.26,306.0,16.22,30.52,0.3,0.7,1,1725
728,19,292.26,306.0,16.22,30.52,0.3,0.7,2,1629
728,19,292.26,306.0,16.22,30.52,0.3,0.7,4,1753
725,20,295.45,297.0,15.96,30.73,0.1,0.1,1,3463
725,20,295.45,297.0,15.96,30.73,0.1,0.1,2,2775
725,20,295.45,297.0,15.96,30.73,0.1,0.1,4,3060
725,20,295.45,297.0,15.96,30.73,0.1,0.4,1,3011
725,20,295.45,297.0,15.96,30.73,0.1,0.4,2,2697
725,20,295.45,297.0,15.96,30.73,0.1,0.4,4,2770
725,20,295.45,297.0,15.96,30.73,0.1,0.7,1,2981
725,20,295.45,297.0,15.96,30.73,0.1,0.7,2,2817
725,20,295.45,297.0,15.96,30.73,0.1,0.7,4,2735
725,20,295.45,297.0,15.96,30.73,0.3,0.1,1,1751
725,20,295.45,297.0,15.96,30.73,0.3,0.1,2,1735
725,20,295.45,297.0,15.96,30.73,0.3,0.1,4,1766
725,20,295.45,297.0,15.96,30.73,0.3,0.4,1,1765
725,20,295.45,297.0,15.96,30.73,0.3,0.4,2,1732
725,20,295.45,297.0,15.96,30.73,0.3,0.4,4,1828
725,20,295.45,297.0,15.96,30.73,0.3,0.7,1,1814
725,20,295.45,297.0,15.96,30.73,0.3,0.7,2,1716
725,20,295.45,297.0,15.96,30.73,0.3,0.7,4,1654
725,20,264.44,337.0,16.14,30.64,0.1,0.1,1,16041
725,20,264.44,337.0,16.14,30.64,0.1,0.1,2,12829
725,20,264.44,337.0,16.14,30.64,0.1,0.1,4,13678
725,20,264.44,337.0,16.14,30.64,0.1,0.4,1,14680
725,20,264.44,337.0,16.14,30.64,0.1,0.4,2,10981
725,20,264.44,337.0,16.14,30.64,0.1,0.4,4,11702
725,20,264.44,337.0,16.14,30.64,0.1,0.7,1,13135
725,20,264.44,337.0,16.14,30.64,0.1,0.7,2,10160
725,20,264.44,337.0,16.14,30.64,0.1,0.7,4,10374
725,20,264.44,337.0,16.14,30.64,0.3,0.1,1,4102
725,20,264.44,337.0,16.14,30.64,0.3,0.1,2,3534
725,20,264.44,337.0,16.14,30.64,0.3,0.1,4,3659
725,20,264.44,337.0,16.14,30.64,0.3,0.4,1,4114
725,20,264.44,337.0,16.14,30.64,0.3,0.4,2,3612
725,20,264.44,337.0,16.14,30.64,0.3,0.4,4,3643
725,20,264.44,337.0,16.14,30.64,0.3,0.7,1,4112
725,20,264.44,337.0,16.14,30.64,0.3,0.7,2,3355
725,20,264.44,337.0,16.14,30.64,0.3,0.7,4,3379
726,19,293.99,311.0,16.02,30.68,0.1,0.1,1,3115
726,19,293.99,311.0,16.02,30.68,0.1,0.1,2,2936
726,19,293.99,311.0,16.02,30.68,0.1,0.1,4,2838
726,19,293.99,311.0,16.02,30.68,0.1,0.4,1,2948
726,19,293.99,311.0,16.02,30.68,0.1,0.4,2,2809
726,19,293.99,311.0,16.02,30.68,0.1,0.4,4,3796
726,19,293.99,311.0,16.02,30.68,0.1,0.7,1,2938
726,19,293.99,311.0,16.02,30.68,0.1,0.7,2,2633
726,19,293.99,311.0,16.02,30.68,0.1,0.7,4,2737
726,19,293.99,311.0,16.02,30.68,0.3,0.1,1,2121
726,19,293.99,311.0,16.02,30.68,0.3,0.1,2,1719
726,19,293.99,311.0,16.02,30.68,0.3,0.1,4,1781
726,19,293.99,311.0,16.02,30.68,0.3,0.4,1,1786
726,19,293.99,311.0,16.02,30.68,0.3,0.4,2,1723
726,19,293.99,311.0,16.02,30.68,0.3,0.4,4,1834
726,19,293.99,311.0,16.02,30.68,0.3,0.7,1,1852
726,19,293.99,311.0,16.02,30.68,0.3,0.7,2,1742
726,19,293.99,311.0,16.02,30.68,0.3,0.7,4,1766
727,19,262.59,361.0,16.03,31.05,0.1,0.1,1,18118
727,19,262.59,361.0,16.03,31.05,0.1,0.1,2,14467
727,19,262.59,361.0,16.03,31.05,0.1,0.1,4,15248
727,19,262.59,361.0,16.03,31.05,0.1,0.4,1,16475
727,19,262.59,361.0,16.03,31.05,0.1,0.4,2,13103
727,19,262.59,361.0,16.03,31.05,0.1,0.4,4,13388
727,19,262.59,361.0,16.03,31.05,0.1,0.7,1,15160
727,19,262.59,361.0,16.03,31.05,0.1,0.7,2,11568
727,19,262.59,361.0,16.03,31.05,0.1,0.7,4,11232
727,19,262.59,361.0,16.03,31.05,0.3,0.1,1,4880
727,19,262.59,361.0,16.03,31.05,0.3,0.1,2,4206
727,19,262.59,361.0,16.03,31.05,0.3,0.1,4,4072
727,19,262.59,361.0,16.03,31.05,0.3,0.4,1,4769
727,19,262.59,361.0,16.03,31.05,0.3,0.4,2,3895
727,19,262.59,361.0,16.03,31.05,0.3,0.4,4,3912
727,19,262.59,361.0,16.03,31.05,0.3,0.7,1,4821
727,19,262.59,361.0,16.03,31.05,0.3,0.7,2,3674
727,19,262.59,361.0,16.03,31.05,0.3,0.7,4,4202
728,20,269.38,343.0,16.11,30.76,0.1,0.1,1,17116
728,20,269.38,343.0,16.11,30.76,0.1,0.1,2,14321
728,20,269.38,343.0,16.11,30.76,0.1,0.1,4,13948
728,20,269.38,343.0,16.11,30.76,0.1,0.4,1,15603
728,20,269.38,343.0,16.11,30.76,0.1,0.4,2,11631
728,20,269.38,343.0,16.11,30.76,0.1,0.4,4,12362
728,20,269.38,343.0,16.11,30.76,0.1,0.7,1,13864
728,20,269.38,343.0,16.11,30.76,0.1,0.7,2,10221
728,20,269.38,343.0,16.11,30.76,0.1,0.7,4,10751
728,20,269.38,343.0,16.11,30.76,0.3,0.1,1,4378
728,20,269.38,343.0,16.11,30.76,0.3,0.1,2,3587
728,20,269.38,343.0,16.11,30.76,0.3,0.1,4,3903
728,20,269.38,343.0,16.11,30.76,0.3,0.4,1,4329
728,20,269.38,343.0,16.11,30.76,0.3,0.4,2,3631
728,20,269.38,343.0,16.11,30.76,0.3,0.4,4,3878
728,20,269.38,343.0,16.11,30.76,0.3,0.7,1,4364
