@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute mediana_pca numeric
@attribute max_pca numeric
@attribute var_pca numeric
@attribute avg_pca numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.1,1,4913
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.1,2,3947
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.1,4,4131
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.4,1,4570
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.4,2,3814
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.4,4,3965
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.7,1,4588
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.7,2,3726
2131,15,611.62,920.0,9.11,14.05,31.0,1.0,27.39,21.31,0.1,0.7,4,3959
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.1,1,3262
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.1,2,2850
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.1,4,3951
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.4,1,3085
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.4,2,2867
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.4,4,2925
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.7,1,3070
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.7,2,2883
495,25,201.06,178.0,23.13,46.75,5.5,1.0,10.76,4.95,0.1,0.7,4,2958
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.1,1,1882
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.1,2,1863
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.1,4,1887
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.4,1,1889
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.4,2,1863
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.4,4,1984
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.7,1,1936
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.7,2,1926
2072,14,699.69,845.0,8.83,13.44,44.0,1.0,45.22,20.72,0.1,0.7,4,1858
2989,22,1146.28,1318.0,15.92,31.17,57.0,1.0,47.63,29.89,0.1,0.1,1,57928
