@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
10,18,3.0,4,9.80866963456,20.3,0.1,0.1,1,21909
10,18,3.0,4,9.80866963456,20.3,0.1,0.1,2,22053
10,18,3.0,4,9.80866963456,20.3,0.1,0.1,3,21797
10,18,3.0,4,9.80866963456,20.3,0.1,0.3,1,17336
10,18,3.0,4,9.80866963456,20.3,0.1,0.3,2,22316
10,18,3.0,4,9.80866963456,20.3,0.1,0.3,3,20818
10,18,3.0,4,9.80866963456,20.3,0.1,0.5,1,15986
10,18,3.0,4,9.80866963456,20.3,0.1,0.5,2,19173
10,18,3.0,4,9.80866963456,20.3,0.1,0.5,3,20346
10,18,3.0,4,9.80866963456,20.3,0.1,0.7,1,16541
10,18,3.0,4,9.80866963456,20.3,0.1,0.7,2,15535
10,18,3.0,4,9.80866963456,20.3,0.1,0.7,3,15969
10,18,3.0,4,9.80866963456,20.3,0.3,0.1,1,1439
10,18,3.0,4,9.80866963456,20.3,0.3,0.1,2,1456
10,18,3.0,4,9.80866963456,20.3,0.3,0.1,3,1533
10,18,3.0,4,9.80866963456,20.3,0.3,0.3,1,1470
10,18,3.0,4,9.80866963456,20.3,0.3,0.3,2,1462
10,18,3.0,4,9.80866963456,20.3,0.3,0.3,3,1484
10,18,3.0,4,9.80866963456,20.3,0.3,0.5,1,1491
10,18,3.0,4,9.80866963456,20.3,0.3,0.5,2,1384
10,18,3.0,4,9.80866963456,20.3,0.3,0.5,3,1502
10,18,3.0,4,9.80866963456,20.3,0.3,0.7,1,1424
10,18,3.0,4,9.80866963456,20.3,0.3,0.7,2,1479
10,18,3.0,4,9.80866963456,20.3,0.3,0.7,3,1567
10,18,3.0,4,9.80866963456,20.3,0.5,0.1,1,1245
10,18,3.0,4,9.80866963456,20.3,0.5,0.1,2,1231
10,18,3.0,4,9.80866963456,20.3,0.5,0.1,3,1175
10,18,3.0,4,9.80866963456,20.3,0.5,0.3,1,1239
10,18,3.0,4,9.80866963456,20.3,0.5,0.3,2,1206
10,18,3.0,4,9.80866963456,20.3,0.5,0.3,3,1216
10,18,3.0,4,9.80866963456,20.3,0.5,0.5,1,1218
10,18,3.0,4,9.80866963456,20.3,0.5,0.5,2,1188
10,18,3.0,4,9.80866963456,20.3,0.5,0.5,3,1187
10,18,3.0,4,9.80866963456,20.3,0.5,0.7,1,1176
10,18,3.0,4,9.80866963456,20.3,0.5,0.7,2,1185
10,18,3.0,4,9.80866963456,20.3,0.5,0.7,3,1180
10,18,3.0,4,9.80866963456,20.3,0.7,0.1,1,1230
10,18,3.0,4,9.80866963456,20.3,0.7,0.1,2,1208
10,18,3.0,4,9.80866963456,20.3,0.7,0.1,3,1170
10,18,3.0,4,9.80866963456,20.3,0.7,0.3,1,1212
10,18,3.0,4,9.80866963456,20.3,0.7,0.3,2,1220
10,18,3.0,4,9.80866963456,20.3,0.7,0.3,3,1214
10,18,3.0,4,9.80866963456,20.3,0.7,0.5,1,1172
10,18,3.0,4,9.80866963456,20.3,0.7,0.5,2,1173
10,18,3.0,4,9.80866963456,20.3,0.7,0.5,3,1175
10,18,3.0,4,9.80866963456,20.3,0.7,0.7,1,1209
10,18,3.0,4,9.80866963456,20.3,0.7,0.7,2,1172
10,18,3.0,4,9.80866963456,20.3,0.7,0.7,3,1182
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.1,1,20087
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.1,2,21361
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.1,3,20992
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.3,1,20410
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.3,2,19896
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.3,3,20846
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.5,1,17289
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.5,2,18223
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.5,3,20044
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.7,1,17338
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.7,2,17418
679,20,247.554034506,325,16.2094206455,31.1531664212,0.1,0.7,3,16551
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.1,1,5404
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.1,2,5754
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.1,3,6193
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.3,1,5432
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.3,2,5438
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.3,3,5791
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.5,1,5373
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.5,2,5567
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.5,3,5451
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.7,1,5318
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.7,2,5451
679,20,247.554034506,325,16.2094206455,31.1531664212,0.3,0.7,3,5559
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.1,1,2274
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.1,2,2184
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.1,3,2338
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.3,1,2241
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.3,2,2398
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.3,3,2252
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.5,1,2203
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.5,2,2245
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.5,3,2357
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.7,1,2310
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.7,2,2671
679,20,247.554034506,325,16.2094206455,31.1531664212,0.5,0.7,3,2234
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.1,1,2038
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.1,2,1361
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.1,3,1419
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.3,1,1445
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.3,2,1380
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.3,3,1398
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.5,1,1365
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.5,2,1383
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.5,3,1496
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.7,1,1347
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.7,2,1389
679,20,247.554034506,325,16.2094206455,31.1531664212,0.7,0.7,3,1408
2,11,0.0,1,5.5,34.5,0.1,0.1,1,1500
2,11,0.0,1,5.5,34.5,0.1,0.1,2,1513
2,11,0.0,1,5.5,34.5,0.1,0.1,3,1459
2,11,0.0,1,5.5,34.5,0.1,0.3,1,1522
2,11,0.0,1,5.5,34.5,0.1,0.3,2,1547
2,11,0.0,1,5.5,34.5,0.1,0.3,3,1509
2,11,0.0,1,5.5,34.5,0.1,0.5,1,1700
2,11,0.0,1,5.5,34.5,0.1,0.5,2,1622
2,11,0.0,1,5.5,34.5,0.1,0.5,3,1557
2,11,0.0,1,5.5,34.5,0.1,0.7,1,1419
2,11,0.0,1,5.5,34.5,0.1,0.7,2,1381
2,11,0.0,1,5.5,34.5,0.1,0.7,3,1415
2,11,0.0,1,5.5,34.5,0.3,0.1,1,1548
2,11,0.0,1,5.5,34.5,0.3,0.1,2,1515
2,11,0.0,1,5.5,34.5,0.3,0.1,3,1554
2,11,0.0,1,5.5,34.5,0.3,0.3,1,1490
2,11,0.0,1,5.5,34.5,0.3,0.3,2,1520
2,11,0.0,1,5.5,34.5,0.3,0.3,3,1460
2,11,0.0,1,5.5,34.5,0.3,0.5,1,1543
2,11,0.0,1,5.5,34.5,0.3,0.5,2,1554
2,11,0.0,1,5.5,34.5,0.3,0.5,3,1515
2,11,0.0,1,5.5,34.5,0.3,0.7,1,1376
2,11,0.0,1,5.5,34.5,0.3,0.7,2,1376
2,11,0.0,1,5.5,34.5,0.3,0.7,3,1405
2,11,0.0,1,5.5,34.5,0.5,0.1,1,1587
2,11,0.0,1,5.5,34.5,0.5,0.1,2,1529
2,11,0.0,1,5.5,34.5,0.5,0.1,3,1549
2,11,0.0,1,5.5,34.5,0.5,0.3,1,1498
2,11,0.0,1,5.5,34.5,0.5,0.3,2,1530
