@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute class {negative,positive}
@data
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.3,0.3,1,positive
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.3,0.4,1,positive
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.3,0.5,1,negative
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.4,0.3,1,positive
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.4,0.4,1,positive
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.4,0.5,1,positive
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.5,0.3,1,positive
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.5,0.4,1,negative
97,18.2475449935,1865,1,33.6391752577,3.46410161514,0.5,0.5,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.3,0.3,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.3,0.4,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.3,0.5,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.4,0.3,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.4,0.4,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.4,0.5,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.5,0.3,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.5,0.4,1,positive
112,0.728431359085,11,24,2.42857142857,12.5299640861,0.5,0.5,1,positive
10,0.0,10,1,1.0,0.0,0.3,0.3,1,negative
10,0.0,10,1,1.0,0.0,0.3,0.4,1,positive
10,0.0,10,1,1.0,0.0,0.3,0.5,1,positive
10,0.0,10,1,1.0,0.0,0.4,0.3,1,positive
10,0.0,10,1,1.0,0.0,0.4,0.4,1,positive
10,0.0,10,1,1.0,0.0,0.4,0.5,1,positive
10,0.0,10,1,1.0,0.0,0.5,0.3,1,positive
10,0.0,10,1,1.0,0.0,0.5,0.4,1,positive
10,0.0,10,1,1.0,0.0,0.5,0.5,1,positive
10,11.5451288429,130,1,18.9,1.0,0.3,0.3,1,positive
10,11.5451288429,130,1,18.9,1.0,0.3,0.4,1,positive
10,11.5451288429,130,1,18.9,1.0,0.3,0.5,1,positive
10,11.5451288429,130,1,18.9,1.0,0.4,0.3,1,positive
10,11.5451288429,130,1,18.9,1.0,0.4,0.4,1,positive
10,11.5451288429,130,1,18.9,1.0,0.4,0.5,1,positive
10,11.5451288429,130,1,18.9,1.0,0.5,0.3,1,positive
10,11.5451288429,130,1,18.9,1.0,0.5,0.4,1,positive
10,11.5451288429,130,1,18.9,1.0,0.5,0.5,1,negative
10,11.5451288429,128,1,18.9,1.0,0.3,0.3,1,positive
10,11.5451288429,128,1,18.9,1.0,0.3,0.4,1,positive
10,11.5451288429,128,1,18.9,1.0,0.3,0.5,1,positive
10,11.5451288429,128,1,18.9,1.0,0.4,0.3,1,positive
10,11.5451288429,128,1,18.9,1.0,0.4,0.4,1,positive
10,11.5451288429,128,1,18.9,1.0,0.4,0.5,1,positive
10,11.5451288429,128,1,18.9,1.0,0.5,0.3,1,positive
10,11.5451288429,128,1,18.9,1.0,0.5,0.4,1,positive
10,11.5451288429,128,1,18.9,1.0,0.5,0.5,1,positive
