@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
721,21,231.11,367.0,16.27,30.94,0.1,0.1,2,68199
721,21,231.11,367.0,16.27,30.94,0.1,0.1,4,71006
721,21,231.11,367.0,16.27,30.94,0.1,0.1,6,68959
721,21,231.11,367.0,16.27,30.94,0.1,0.4,2,66186
721,21,231.11,367.0,16.27,30.94,0.1,0.4,4,67297
721,21,231.11,367.0,16.27,30.94,0.1,0.4,6,68037
721,21,231.11,367.0,16.27,30.94,0.1,0.7,2,62522
721,21,231.11,367.0,16.27,30.94,0.1,0.7,4,65387
721,21,231.11,367.0,16.27,30.94,0.1,0.7,6,66358
721,21,231.11,367.0,16.27,30.94,0.3,0.1,2,7011
721,21,231.11,367.0,16.27,30.94,0.3,0.1,4,8353
721,21,231.11,367.0,16.27,30.94,0.3,0.1,6,9085
721,21,231.11,367.0,16.27,30.94,0.3,0.4,2,6813
721,21,231.11,367.0,16.27,30.94,0.3,0.4,4,9363
721,21,231.11,367.0,16.27,30.94,0.3,0.4,6,8017
721,21,231.11,367.0,16.27,30.94,0.3,0.7,2,6893
721,21,231.11,367.0,16.27,30.94,0.3,0.7,4,6734
721,21,231.11,367.0,16.27,30.94,0.3,0.7,6,8343
737,19,296.76,314.0,16.18,30.47,0.1,0.1,2,3014
737,19,296.76,314.0,16.18,30.47,0.1,0.1,4,3023
737,19,296.76,314.0,16.18,30.47,0.1,0.1,6,3127
737,19,296.76,314.0,16.18,30.47,0.1,0.4,2,3163
737,19,296.76,314.0,16.18,30.47,0.1,0.4,4,3174
737,19,296.76,314.0,16.18,30.47,0.1,0.4,6,3080
737,19,296.76,314.0,16.18,30.47,0.1,0.7,2,2895
737,19,296.76,314.0,16.18,30.47,0.1,0.7,4,2929
737,19,296.76,314.0,16.18,30.47,0.1,0.7,6,2962
737,19,296.76,314.0,16.18,30.47,0.3,0.1,2,2809
737,19,296.76,314.0,16.18,30.47,0.3,0.1,4,2271
737,19,296.76,314.0,16.18,30.47,0.3,0.1,6,2320
737,19,296.76,314.0,16.18,30.47,0.3,0.4,2,2263
737,19,296.76,314.0,16.18,30.47,0.3,0.4,4,2254
737,19,296.76,314.0,16.18,30.47,0.3,0.4,6,2241
737,19,296.76,314.0,16.18,30.47,0.3,0.7,2,2181
737,19,296.76,314.0,16.18,30.47,0.3,0.7,4,2198
737,19,296.76,314.0,16.18,30.47,0.3,0.7,6,2244
728,19,292.26,306.0,16.22,30.52,0.1,0.1,2,3173
728,19,292.26,306.0,16.22,30.52,0.1,0.1,4,2833
728,19,292.26,306.0,16.22,30.52,0.1,0.1,6,2791
728,19,292.26,306.0,16.22,30.52,0.1,0.4,2,2582
728,19,292.26,306.0,16.22,30.52,0.1,0.4,4,2843
728,19,292.26,306.0,16.22,30.52,0.1,0.4,6,2993
728,19,292.26,306.0,16.22,30.52,0.1,0.7,2,2785
728,19,292.26,306.0,16.22,30.52,0.1,0.7,4,2950
728,19,292.26,306.0,16.22,30.52,0.1,0.7,6,2920
728,19,292.26,306.0,16.22,30.52,0.3,0.1,2,2089
