@RELATION aprioriDataset
@attribute transactions numeric
@attribute items numeric
@attribute avg_transaction numeric
@attribute var_transaction numeric
@attribute avg_items numeric
@attribute var_items numeric
@attribute minSup numeric
@attribute minConf numeric
@attribute workers numeric
@attribute time numeric
@data
721,21,231.11,367.0,16.27,30.94,0.1,0.1,2,78949
721,21,231.11,367.0,16.27,30.94,0.1,0.1,4,83722
721,21,231.11,367.0,16.27,30.94,0.1,0.4,2,68408
721,21,231.11,367.0,16.27,30.94,0.1,0.4,4,72175
721,21,231.11,367.0,16.27,30.94,0.1,0.7,2,64620
721,21,231.11,367.0,16.27,30.94,0.1,0.7,4,68154
721,21,231.11,367.0,16.27,30.94,0.3,0.1,2,7613
721,21,231.11,367.0,16.27,30.94,0.3,0.1,4,6948
721,21,231.11,367.0,16.27,30.94,0.3,0.4,2,6544
721,21,231.11,367.0,16.27,30.94,0.3,0.4,4,6792
721,21,231.11,367.0,16.27,30.94,0.3,0.7,2,7247
721,21,231.11,367.0,16.27,30.94,0.3,0.7,4,6785
737,19,296.76,314.0,16.18,30.47,0.1,0.1,2,2979
737,19,296.76,314.0,16.18,30.47,0.1,0.1,4,3012
737,19,296.76,314.0,16.18,30.47,0.1,0.4,2,2955
737,19,296.76,314.0,16.18,30.47,0.1,0.4,4,2906
737,19,296.76,314.0,16.18,30.47,0.1,0.7,2,2881
737,19,296.76,314.0,16.18,30.47,0.1,0.7,4,3360
737,19,296.76,314.0,16.18,30.47,0.3,0.1,2,2276
737,19,296.76,314.0,16.18,30.47,0.3,0.1,4,2327
737,19,296.76,314.0,16.18,30.47,0.3,0.4,2,2312
737,19,296.76,314.0,16.18,30.47,0.3,0.4,4,2291
737,19,296.76,314.0,16.18,30.47,0.3,0.7,2,2220
737,19,296.76,314.0,16.18,30.47,0.3,0.7,4,2227
728,19,292.26,306.0,16.22,30.52,0.1,0.1,2,2497
728,19,292.26,306.0,16.22,30.52,0.1,0.1,4,2547
728,19,292.26,306.0,16.22,30.52,0.1,0.4,2,2403
728,19,292.26,306.0,16.22,30.52,0.1,0.4,4,2526
