@relation TestData

@attribute cord0 numeric
@attribute cord1 numeric
@attribute cord2 numeric
@attribute cord3 numeric
@attribute cord4 numeric
@attribute cord5 numeric
@attribute cord6 numeric
@attribute cord7 numeric
@attribute cord8 numeric
@attribute cord9 numeric

@data
85.0,20.0,25.5538646784,46.0,18.2576333754,33.0,0.3,0.5,1.0,3037.0
85.0,20.0,25.5538646784,46.0,18.2576333754,33.0,0.4,0.3,1.0,1993.0
85.0,20.0,25.5538646784,46.0,18.2576333754,33.0,0.4,0.4,1.0,1960.0
85.0,20.0,25.5538646784,46.0,18.2576333754,33.0,0.4,0.5,1.0,2009.0
85.0,20.0,25.5538646784,46.0,18.2576333754,33.0,0.5,0.3,1.0,1517.0
85.0,20.0,25.5538646784,46.0,18.2576333754,33.0,0.5,0.4,1.0,1487.0
85.0,20.0,25.5538646784,46.0,18.2576333754,33.0,0.5,0.5,1.0,1493.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.3,0.3,1.0,1283.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.3,0.4,1.0,1258.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.3,0.5,1.0,1265.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.4,0.3,1.0,1257.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.4,0.4,1.0,1287.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.4,0.5,1.0,1244.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.5,0.3,1.0,1235.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.5,0.4,1.0,1232.0
10.0,11.0,2.82842712475,5.0,11.0855762142,18.1,0.5,0.5,1.0,1257.0
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.3,0.3,1.0,1551.0
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.3,0.4,1.0,1487.0
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.3,0.5,1.0,1454.0
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.4,0.3,1.0,1468.0
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.4,0.4,1.0,1515.0
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.4,0.5,1.0,1558.0
86.0,18.0,34.3511280746,38.0,18.2696474029,32.4302325581,0.5,0.3,1.0,1422.0
